Grupp A - Tabell,,,nannis,HemmaLag,,,,BortaLag,,,HemmaScore,,BortaScore,,,,Grupp B - Tabell,,,,HemmaLag2,,,,BortaLag2,,,HemmaScore2,,BortaScore2
Plats,Land,,Sm,V,O,   F,,,MÜl,,Diff,PoÑng,,,,,,,,Sm,V,O,F,,,MÜl,,Diff,PoÑng,
1,Frankrike,,3,3,0,0,,12,:,2,10,9,,,,,1,England,,3,3,0,0,,10,:,4,6,9,
2,Schweiz,,3,2,0,1,,7,:,4,3,6,,,,,2,Slovakien,,3,2,0,1,,8,:,4,4,6,
3,Rum‰nien,,3,1,0,2,,6,:,7,-1,3,,,,,3,Ryssland,,3,0,1,2,,4,:,8,-4,1,
4,Albanien,,3,0,0,3,,0,:,12,-12,0,,,,,4,Wales,,3,0,1,2,,3,:,9,-6,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupp A - Spelschema,,,,,,,,,,,,,,,,,Grupp B - Spelschema,,,,,,,,,,,,,
Spel,Datum,Tid,,Lag,,,,,,,,MÜl,,,,,Spel,Datum,Tid,,Lag,,,,,,,,MÜl,
1,10.06.2016,21:00,,Frankrike,,,:,Rum‰nien,,,4,:,1,,,,3,11.06.2016,18:00,,Wales,,,:,Slovakien,,,0,:,3
2,11.06.2016,15:00,,Albanien,,,:,Schweiz,,,0,:,3,,,,4,11.06.2016,21:00,,England,,,:,Ryssland,,,3,:,1
14,15.06.2016,18:00,,Rum‰nien,,,:,Schweiz,,,1,:,3,,,,13,15.06.2016,15:00,,Ryssland,,,:,Slovakien,,,1,:,3
15,15.06.2016,21:00,,Frankrike,,,:,Albanien,,,5,:,0,,,,16,16.06.2016,18:00,,England,,,:,Wales,,,4,:,1
26,19.06.2016,21:00,,Schweiz,,,:,Frankrike,,,1,:,3,,,,28,20.06.2016,21:00,,Slovakien,,,:,England,,,2,:,3
25,19.06.2016,21:00,,Rum‰nien,,,:,Albanien,,,4,:,0,,,,27,20.06.2016,21:00,,Ryssland,,,:,Wales,,,2,:,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupp C - Tabell,,,,,,,,,,,,,,,,,Grupp D - Tabell,,,,,,,,,,,,,
,,,Sm,V,O,   F,,,MÜl,,Diff,PoÑng,,,,,,,,Sm,V,O,   F,,,MÜl,,Diff,PoÑng,
1,Tyskland,,3,3,0,0,,12,:,1,11,9,,,,,1,Kroatien,,3,3,0,0,,7,:,3,4,9,
2,Polen,,3,2,0,1,,7,:,5,2,6,,,,,2,Tjeckien,,3,2,0,1,,5,:,4,1,6,
3,Nordirland,,3,0,1,2,,2,:,8,-6,1,,,,,3,Spanien,,3,0,1,2,,4,:,6,-2,1,
4,Ukraina,,3,0,1,2,,2,:,9,-7,1,,,,,4,Turkiet,,3,0,1,2,,4,:,7,-3,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupp C - Spelschema,,,,,,,,,,,,,,,,,Grupp D - Spelschema,,,,,,,,,,,,,
Spel,Datum,Tid,,Lag,,,,,,,,MÜl,,,,,Spel,Datum,Tid,,Lag,,,,,,,,MÜl,
6,12.06.2016,18:00,,Polen,,,:,Nordirland,,,3,:,1,,,,5,12.06.2016,15:00,,       Turkiet,,,:,Kroatien,,,1,:,3
7,12.06.2016,21:00,,Tyskland,,,:,Ukraina,,,5,:,0,,,,8,12.06.2016,18:00,,Spanien,,,:,Tjeckien,,,1,:,2
17,16.06.2016,18:00,,Ukraina,,,:,Nordirland,,,1,:,1,,,,20,17.06.2016,18:00,,Tjeckien,,,:,Kroatien,,,1,:,2
18,16.06.2016,21:00,,Tyskland,,,:,Polen,,,3,:,1,,,,21,17.06.2016,21:00,,Spanien,,,:,Turkiet,,,2,:,2
29,21.06.2016,21:00,,Ukraina,,,:,Polen,,,1,:,3,,,,32,21.06.2016,21:00,,Kroatien,,,:,Spanien,,,2,:,1
30,21.06.2016,21:00,,Nordirland,,,:,Tyskland,,,0,:,4,,,,31,21.06.2016,21:00,,Tjeckien,,,:,Turkiet,,,2,:,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupp E - Tabell,,,,,,,,,,,,,,,,,Grupp F - Tabell,,,,,,,,,,,,,
,,,Sm,V,O,   F,,,MÜl,,Diff,PoÑng,,,,,,,,Sm,V,O,   F,,,MÜl,,Diff,PoÑng,
1,Italien,,3,2,1,0,,5,:,2,3,7,,,,,1,Portugal,,3,2,1,0,,7,:,2,5,7,
2,Belgien,,3,2,0,1,,8,:,5,3,6,,,,,2,÷sterrike,,3,2,1,0,,7,:,4,3,7,
3,Zverige,,3,1,1,1,,6,:,5,1,4,,,,,3,Island,,3,1,0,2,,3,:,7,-4,3,
4,Irland,,3,0,0,3,,2,:,9,-7,0,,,,,4,Ungern,,3,0,0,3,,2,:,6,-4,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupp E - Spelschema,,,,,,,,,,,,,,,,,Gruppe F - Spelschema,,,,,,,,,,,,,
Spel,Datum,Tid,,Lag,,,,,,,,MÜl,,,,,Spel,Datum,Tid,,Lag,,,,,,,,MÜl,
9,13.06.2016,18:00,,Irland,,,:,Zverige,,,1,:,3,,,,11,14.06.2016,18:00,,÷sterrike,,,:,Ungern,,,2,:,1
10,13.06.2016,21:00,,Belgien,,,:,Italien,,,1,,2,,,,12,14.06.2016,21:00,,Portugal,,,:,Island,,,3,:,0
19,17.06.2016,15:00,,Italien,,,:,Zverige,,,1,:,1,,,,23,18.06.2016,18:00,,Island,,,:,Ungern,,,2,:,1
22,18.06.2016,15:00,,Belgien,,,:,Irland,,,4,:,1,,,,24,18.06.2016,21:00,,Portugal,,,:,÷sterrike,,,2,:,2
36,22.06.2016,21:00,,Italien,,,:,Irland,,,2,:,0,,,,34,22.06.2016,21:00,,Ungern,,,:,Portugal,,,0,:,2
35,22.06.2016,21:00,,Zverige,,,:,Belgien,,,2,:,3,,,,33,22.06.2016,21:00,,Island,,,:,÷sterrike,,,1,:,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BÑsta treor""-Tabell",,,,,,,,,,,,,,,,,èttondelsfinal,,,,,,,,,,,,,
Plats,Land,,Sm,V,O,   F,,,MÜl,,Diff,PoÑng,Gruppe,,,,Match,Datum,Tid,,,,,Lag,,,,,MÜl,
1,Zverige,,3,1,1,1,,6,:,5,1,4,E,,,,37,25.06.2016,15:00,,Schweiz,,,:,Polen,,,2,:,1
2,Rum‰nien,,3,1,0,2,,6,:,7,-1,3,A,,,,38,25.06.2016,18:00,,England,,,:,Rum‰nien,,,3,:,1
3,Island,,3,1,0,2,,3,:,7,-4,3,F,,,,39,25.06.2016,21:00,,Kroatien,,,:,Zverige,,,2,:,1
4,Spanien,,3,0,1,2,,4,:,6,-2,1,D,,,,40,26.06.2016,15:00,,Frankrike,,,:,Spanien,,,4,:,2
5,Ryssland,,3,0,1,2,,4,:,8,-4,1,B,,,,41,26.06.2016,18:00,,Tyskland,,,:,Island,,,5,:,0
6,Nordirland,,3,0,1,2,,2,:,8,-6,1,C,,,,42,26.06.2016,21:00,,Portugal,,,:,Belgien,,,1,:,2
,,,,,,,,,,,,,,,,,43,27.06.2016,18:00,,Italien,,,:,Tjeckien,,,2,:,1
,,,,,,,,,,,,,,,,,44,27.06.2016,21:00,,Slovakien,,,:,÷sterrike,,,3,:,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kvartsfinal,,,,,,,,,,,,,,,,,Semifinal,,,,,,,,,,,,,
Match,Datum,Tid,,,,,Lag,,,,,MÜl,,,,,Match,Datum,Tid,,,,,Lag,,,,,MÜl,
45,30.06.2016,21:00,Schweiz,,,,:,Kroatien,,,1,:,2,,,,49,06.07.2016,21:00,,Kroatien,,,:,Belgien,,,2,:,2
46,01.07.2016,21:00,England,,,,:,Belgien,,,2,:,2,,,,50,07.07.2016,21:00,,Italien,,,:,Frankrike,,,2,:,2
47,02.07.2016,21:00,Tyskland,,,,:,Italien,,,1,:,1,,,,,,,,,,,,,,,,,
48,03.07.2016,21:00,Frankrike,,,,:,Slovakien,,,4,:,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Grand Finale,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Match,Datum,Tid,,,,,Lag,,,,,MÜl,
,,,,,,,,,,,,,,,,,51,10.07.2016,21:00,,Belgien,,,:,Frankrike,,,2,:,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Europameister,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Frankrike,,,,,,,,,,,,,,,,,,
